year-index,filename,sizeW,sizeH,image_proportion,vis_type,Conference,Year,pageNum,Paper DOI,thumb_url,url,Paper type,Paper Title,Author,Keywords Author,paper_url
15,Vis.14.15.jpg,418,405,0.044863,2,Vis,1990,13,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.15.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.15.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
16,Vis.14.16.jpg,419,401,0.044526,2,Vis,1990,13,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.16.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.16.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
17,Vis.14.17.jpg,428,394,0.044689,2,Vis,1990,13,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.17.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.17.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
18,Vis.14.18.jpg,1087,411,0.118394,2,Vis,1990,13,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.18.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.18.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
19,Vis.14.19.jpg,403,324,0.034803,14,Vis,1990,14,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.19.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.19.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
20,Vis.14.20.jpg,1266,1049,0.353981,2,Vis,1990,5,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.20.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.20.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
21,Vis.14.21.jpg,588,1076,0.165876,4,Vis,1990,8,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.21.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.21.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
22,Vis.28.22.jpg,838,649,0.144728,3,Vis,1990,3,10.1109/VISUAL.1990.146361,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.28.22.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.28.22.jpg,C,The VIS-5D system for easy interactive visualization,B. Hibbard;D. Santek,,http://dx.doi.org/10.1109/VISUAL.1990.146361
23,Vis.36.23.jpg,405,397,0.042856,11,Vis,1990,8,10.1109/VISUAL.1990.146362,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.36.23.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.36.23.jpg,C,A procedural interface for volume rendering,J.L. Montine,,http://dx.doi.org/10.1109/VISUAL.1990.146362
24,Vis.36.24.jpg,259,247,0.017052,11,Vis,1990,8,10.1109/VISUAL.1990.146362,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.36.24.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.36.24.jpg,C,A procedural interface for volume rendering,J.L. Montine,,http://dx.doi.org/10.1109/VISUAL.1990.146362
25,Vis.45.25.jpg,413,335,0.036568,10,Vis,1990,1,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.25.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.45.25.jpg,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363
26,Vis.45.26.jpg,486,280,0.035771,6,Vis,1990,2,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.26.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.45.26.jpg,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363
27,Vis.45.27.jpg,534,436,0.061203,13,Vis,1990,2,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.27.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.45.27.jpg,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363
28,Vis.45.28.jpg,1217,451,0.146536,11,Vis,1990,3,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.28.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.45.28.jpg,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363
29,Vis.45.29.jpg,1211,524,0.169416,2,Vis,1990,3,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.29.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.45.29.jpg,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363
30,Vis.45.30.jpg,1222,1569,0.511885,3,Vis,1990,3,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.30.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.45.30.jpg,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363
31,Vis.51.31.jpg,850,233,0.052345,5,Vis,1990,1,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.31.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.31.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
32,Vis.51.32.jpg,579,384,0.058722,6,Vis,1990,4,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.32.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.32.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
33,Vis.51.33.jpg,432,546,0.062342,10,Vis,1990,5,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.33.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.33.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
34,Vis.51.34.jpg,285,267,0.019941,11,Vis,1990,8,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.34.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.34.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
35,Vis.51.35.jpg,327,278,0.023823,11,Vis,1990,8,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.35.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.35.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
36,Vis.51.36.jpg,339,379,0.033669,11,Vis,1990,8,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.36.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.36.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
37,Vis.51.37.jpg,258,297,0.020080,11,Vis,1990,8,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.37.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.37.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
38,Vis.51.38.jpg,357,374,0.034989,5,Vis,1990,8,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.38.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.38.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
39,Vis.51.39.jpg,193,377,0.019068,5,Vis,1990,8,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.39.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.51.39.jpg,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364
40,Vis.59.40.jpg,451,337,0.040160,6,Vis,1990,2,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.40.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.40.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
41,Vis.59.41.jpg,427,368,0.041521,4,Vis,1990,2,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.41.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.41.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
42,Vis.59.42.jpg,396,236,0.024480,6,Vis,1990,3,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.42.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.42.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
43,Vis.59.43.jpg,450,181,0.021710,6,Vis,1990,4,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.43.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.43.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
44,Vis.59.44.jpg,559,431,0.064218,6,Vis,1990,4,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.44.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.44.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
45,Vis.59.45.jpg,486,242,0.031349,6,Vis,1990,4,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.45.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.45.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
46,Vis.59.46.jpg,560,237,0.035126,6,Vis,1990,5,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.46.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.46.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
47,Vis.59.47.jpg,556,397,0.058420,6,Vis,1990,5,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.47.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.47.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
48,Vis.59.48.jpg,562,322,0.048314,6,Vis,1990,6,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.48.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.48.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
49,Vis.59.49.jpg,552,314,0.046275,10,Vis,1990,6,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.49.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.49.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
50,Vis.59.50.jpg,561,371,0.055567,5,Vis,1990,6,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.50.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.50.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
51,Vis.59.51.jpg,546,307,0.044679,10,Vis,1990,7,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.51.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.51.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
52,Vis.59.52.jpg,564,360,0.054119,6,Vis,1990,7,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.52.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.52.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
53,Vis.59.53.jpg,566,316,0.047673,6,Vis,1990,7,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.53.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.53.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
54,Vis.59.54.jpg,562,360,0.054015,6,Vis,1990,8,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.54.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.59.54.jpg,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365
55,Vis.67.55.jpg,560,309,0.046198,11,Vis,1990,6,10.1109/VISUAL.1990.146366,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.67.55.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.67.55.jpg,C,Animation techniques for chain-coded objects,A.J. Maeder,,http://dx.doi.org/10.1109/VISUAL.1990.146366
56,Vis.67.56.jpg,619,180,0.029747,11,Vis,1990,6,10.1109/VISUAL.1990.146366,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.67.56.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.67.56.jpg,C,Animation techniques for chain-coded objects,A.J. Maeder,,http://dx.doi.org/10.1109/VISUAL.1990.146366
57,Vis.67.57.jpg,660,315,0.055505,11,Vis,1990,6,10.1109/VISUAL.1990.146366,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.67.57.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.67.57.jpg,C,Animation techniques for chain-coded objects,A.J. Maeder,,http://dx.doi.org/10.1109/VISUAL.1990.146366
58,Vis.67.58.jpg,867,142,0.032869,11,Vis,1990,6,10.1109/VISUAL.1990.146366,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.67.58.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.67.58.jpg,C,Animation techniques for chain-coded objects,A.J. Maeder,,http://dx.doi.org/10.1109/VISUAL.1990.146366
59,Vis.67.59.jpg,978,193,0.050394,11,Vis,1990,6,10.1109/VISUAL.1990.146366,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.67.59.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.67.59.jpg,C,Animation techniques for chain-coded objects,A.J. Maeder,,http://dx.doi.org/10.1109/VISUAL.1990.146366
60,Vis.74.60.jpg,513,624,0.084645,2,Vis,1990,2,10.1109/VISUAL.1990.146367,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.74.60.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.74.60.jpg,C,Extracting geometric models through constraint minimization,J.V. Miller;D.E. Breen;M.J. Wozny,,http://dx.doi.org/10.1109/VISUAL.1990.146367
61,Vis.74.61.jpg,359,267,0.025369,10,Vis,1990,3,10.1109/VISUAL.1990.146367,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.74.61.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.74.61.jpg,C,Extracting geometric models through constraint minimization,J.V. Miller;D.E. Breen;M.J. Wozny,,http://dx.doi.org/10.1109/VISUAL.1990.146367
62,Vis.74.62.jpg,370,224,0.021935,6,Vis,1990,3,10.1109/VISUAL.1990.146367,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.74.62.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.74.62.jpg,C,Extracting geometric models through constraint minimization,J.V. Miller;D.E. Breen;M.J. Wozny,,http://dx.doi.org/10.1109/VISUAL.1990.146367
