year-index,filename,Conference,Year,Paper DOI,thumb_url,cap_url,url,fileIndex,imageID,Paper type,Paper Title,Author,Keywords Author,paper_url,Paper FirstPage,Paper LastPage,globalIndex,recodeRank,img_width,img_height,isUP
16,Vis.14.16.png,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.16.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.16.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.16.png,I16,I16Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",16,16,510,394,0
17,Vis.14.17.png,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.17.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.17.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.17.png,I17,I17Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",17,17,506,390,0
18,Vis.14.18.png,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.18.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.18.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.18.png,I18,I18Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",18,18,501,379,0
19,Vis.14.19.jpg,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.19.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.19.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.19.png,I19,I19Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",19,19,1360,1088,0
20,Vis.14.20.jpg,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.20.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.20.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.20.png,I20,I20Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",20,20,1267,1050,0
21,Vis.28.22.jpg,Vis,1990,10.1109/VISUAL.1990.146361,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.28.22.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.28.22.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.28.21.png,I21,I21Y1990,C,The VIS-5D system for easy interactive visualization,B. Hibbard;D. Santek,,http://dx.doi.org/10.1109/VISUAL.1990.146361,28,"35, 462",21,21,547,424,0
22,Vis.36.23.jpg,Vis,1990,10.1109/VISUAL.1990.146362,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.36.23.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.36.23.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.36.22.png,I22,I22Y1990,C,A procedural interface for volume rendering,J.L. Montine,,http://dx.doi.org/10.1109/VISUAL.1990.146362,36,"44, 462",22,22,419,414,0
23,Vis.36.24.jpg,Vis,1990,10.1109/VISUAL.1990.146362,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.36.24.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.36.24.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.36.23.png,I23,I23Y1990,C,A procedural interface for volume rendering,J.L. Montine,,http://dx.doi.org/10.1109/VISUAL.1990.146362,36,"44, 462",23,23,440,433,0
24,Vis.45.25.jpg,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.25.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.25.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.24.png,I24,I24Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",24,24,414,336,0
25,Vis.45.26.jpg,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.26.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.26.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.25.png,I25,I25Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",25,25,487,281,0
26,Vis.45.27.jpg,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.27.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.27.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.26.png,I26,I26Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",26,26,535,437,0
27,Vis.45.28_1.png,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.28_1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.28_1.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.27.png,I27,I27Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",27,27,778,577,0
28,Vis.45.28_2.png,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.28_2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.28_2.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.28.png,I28,I28Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",28,28,734,550,0
29,Vis.45.30_1.png,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.30_1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.30_1.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.29.png,I29,I29Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",29,29,615,394,0
30,Vis.45.30_2.png,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.30_2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.30_2.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.30.png,I30,I30Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",30,30,612,422,0
31,Vis.45.30_3.png,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.30_3.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.30_3.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.31.png,I31,I31Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",31,31,648,460,0
32,Vis.45.30_4.png,Vis,1990,10.1109/VISUAL.1990.146363,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.45.30_4.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.45.30_4.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.45.32.png,I32,I32Y1990,C,Techniques for the interactive visualization of volumetric data,G.M. Nielson;B. Hamann,,http://dx.doi.org/10.1109/VISUAL.1990.146363,45,"50, 462-3",32,32,635,489,0
35,Vis.51.32.jpg,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.32.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.32.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.35.png,I35,I35Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",35,35,580,385,0
36,Vis.51.33.jpg,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.33.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.33.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.36.png,I36,I36Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",36,36,433,547,0
37,Vis.51.34.jpg,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.34.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.34.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.37.png,I37,I37Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",37,37,464,443,0
38,Vis.51.35.jpg,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.35.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.35.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.38.png,I38,I38Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",38,38,456,404,0
39,Vis.51.36.jpg,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.36.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.36.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.39.png,I39,I39Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",39,39,457,433,0
40,Vis.51.37.jpg,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.37.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.37.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.40.png,I40,I40Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",40,40,438,398,0
41,Vis.51.38.png,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.38.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.38.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.41.png,I41,I41Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",41,41,449,432,0
42,Vis.51.39.jpg,Vis,1990,10.1109/VISUAL.1990.146364,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.51.39.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.51.39.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.51.42.png,I42,I42Y1990,C,Displaying voxel-based objects according to their qualitative shape synthesis,Y. Yacoob,,http://dx.doi.org/10.1109/VISUAL.1990.146364,51,"58, 463-4",42,42,450,434,0
43,Vis.59.40.jpg,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.40.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.40.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.43.png,I43,I43Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,43,43,452,338,0
44,Vis.59.41.jpg,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.41.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.41.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.44.png,I44,I44Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,44,44,428,369,0
45,Vis.59.42.jpg,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.42.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.42.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.45.png,I45,I45Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,45,45,397,237,0
46,Vis.59.43.jpg,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.43.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.43.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.46.png,I46,I46Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,46,46,451,182,0
47,Vis.59.44.jpg,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.44.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.44.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.47.png,I47,I47Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,47,47,560,432,0
48,Vis.59.45.png,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.45.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.45.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.48.png,I48,I48Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,48,48,1820,748,0
49,Vis.59.46.jpg,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.46.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.46.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.49.png,I49,I49Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,49,49,561,238,0
50,Vis.59.47.jpg,Vis,1990,10.1109/VISUAL.1990.146365,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.59.47.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.59.47.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.59.50.png,I50,I50Y1990,C,Interpreting a 3D object from a rough 2D line drawing,D. Lamb;A. Bandopadhay,,http://dx.doi.org/10.1109/VISUAL.1990.146365,59,66,50,50,557,398,0
