Conference,Year,Number of Figures,Paper Title,Paper DOI,Author,URL,Paper type,Keywords Author,Paper ID,Number of Pages,Number of Figures,image name identification,medical,biology,brain,tract,flow,vector,tensor,particle,physics,streamline,biomedical_vis,flow_vis,isIncluded
Vis,2008,13,Effective visualization of complex vascular structures using a non-parametric vessel detection method,10.1109/TVCG.2008.123,Alark Joshi;Xiaoning Qian;Donald P. Dione;Ketan R. Bulsara;Christopher K. Breuer;Albert J. Sinusas;Xenophon Papademetris,http://dx.doi.org/10.1109/TVCG.2008.123,J,"Vessel identification, Vessel visualization, Evaluation of visualization techniques",p11,8,13,2008 Joshi 10.1109/TVCG.2008.123,1,0,0,0,0,0,0,0,0,0,1,0,1
Vis,2008,8,Effective Visualization of Short Routes,10.1109/TVCG.2008.124,Patrick Degener;Ruwen Schnabel;Christopher Schwartz;Reinhard Klein,http://dx.doi.org/10.1109/TVCG.2008.124,J,"Maps, Route visualization, Space deformation",p12,7,8,2008 Degener 10.1109/TVCG.2008.124,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,11,Effects of Video Placement and Spatial Context Presentation on Path Reconstruction Tasks with Contextualized Videos,10.1109/TVCG.2008.126,Yi Wang;Doug A. Bowman;David M. Krum;Enylton Machado Coelho;Tonya L. Smith-Jackson;David Bailey;Sarah Peck;Swethan Anand;Trevor Kennedy;Yernar Abdrazakov,http://dx.doi.org/10.1109/TVCG.2008.126,J,"contextualized videos, design factors, user study, video placement, spatial context, tracking, path reconstruction",p13,8,11,2008 Wang 10.1109/TVCG.2008.126,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,10,Estimating Crossing fibers: A Tensor Decomposition Approach,10.1109/TVCG.2008.128,Thomas Schultz;Hans-Peter Seidel,http://dx.doi.org/10.1109/TVCG.2008.128,J,"DW-MRI, Q-Ball, spherical deconvolution, fiber tracking, higher-order tensor, tensor decomposition",p14,8,10,2008 Schultz 10.1109/TVCG.2008.128,0,0,0,1,0,0,1,0,0,0,1,1,1
Vis,2008,13,Extensions of Parallel Coordinates for Interactive Exploration of Large Multi-Timepoint Data Sets,10.1109/TVCG.2008.131,Jorik Blaas;Charl P. Botha;Frits H. Post,http://dx.doi.org/10.1109/TVCG.2008.131,J,"Parallel coordinate plots, time-varying, multi-field, linked related views",p15,8,13,2008 Blaas 10.1109/TVCG.2008.131,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,8,Focus+Context Visualization with Distortion Minimization,10.1109/TVCG.2008.132,Yu-Shuen Wang;Tong-Yee Lee;Chiew-Lan Tai,http://dx.doi.org/10.1109/TVCG.2008.132,J,"Focus+Context visualization, magnification, bounding space",p16,8,8,2008 Wang 10.1109/TVCG.2008.132,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2008,6,Generation of Accurate Integral Surfaces in Time-Dependent Vector fields,10.1109/TVCG.2008.133,Christoph Garth;Han Krishnan;Xavier Tricoche;Tom Tricoche;Kenneth I. Joy,http://dx.doi.org/10.1109/TVCG.2008.133,J,"3D vector field visualization, flow visualization, time-varying and time-series visualization, surface extraction",p17,8,6,2008 Garth 10.1109/TVCG.2008.133,0,0,0,0,1,1,0,0,0,0,0,1,1
Vis,2008,10,Geodesic Distance-weighted Shape Vector Image Diffusion,10.1109/TVCG.2008.134,Jing Hua;Zhaoqiang Lai;Ming Dong;Xianfeng Gu;Hong Qin,http://dx.doi.org/10.1109/TVCG.2008.134,J,"Surface Matching, Shape Vector Image, Multiscale Diffusion, Visualization",p18,8,10,2008 Hua 10.1109/TVCG.2008.134,0,0,0,0,0,1,0,0,0,0,0,1,1
Vis,2008,8,Glyph-Based SPECT Visualization for the Diagnosis of Coronary Artery Disease,10.1109/TVCG.2008.136,Jennis Meyer-Spradow;Lars Stegger;Christian Döring;Timo Ropinski;Klaus H. Hinrichs,http://dx.doi.org/10.1109/TVCG.2008.136,J,"Multivariate visualization, glyph techniques, SPECT, myocardial perfusion imaging",p19,8,8,2008 Meyer-Spradow 10.1109/TVCG.2008.136,1,0,0,0,0,0,0,0,0,0,1,0,1
Vis,2008,8,Hypothesis Generation in Climate Research with Interactive Visual Data Exploration,10.1109/TVCG.2008.139,Johannes Kehrer;Florian Ladstädter;Philipp Muigg;Helmut Doleisch;Andrea Steiner;Helwig Hauser,http://dx.doi.org/10.1109/TVCG.2008.139,J,"Interactive visual hypothesis generation, interactive visual exploration and analysis, visualization for climate research",p20,8,8,2008 Kehrer 10.1109/TVCG.2008.139,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,11,Importance-Driven Time-Varying Data Visualization,10.1109/TVCG.2008.140,Chaoli Wang;Hongfeng Yu;Kwan-Liu Ma,http://dx.doi.org/10.1109/TVCG.2008.140,J,"Time-varying data, conditional entropy, joint feature-temporal space, clustering, highlighting, transfer function",p21,8,11,2008 Wang 10.1109/TVCG.2008.140,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,9,Interactive Blood Damage Analysis for Ventricular Assist Devices,10.1109/TVCG.2008.142,Bernd Hentschel;Irene Tedjo;Markus Probst;Marc Wolter;Marek Behr;Christian H. Bischof;Torsten Kuhlen,http://dx.doi.org/10.1109/TVCG.2008.142,J,"Tensor visualization, time-dependent data, blood damage, ventricular assist device, virtual reality",p22,8,9,2008 Hentschel 10.1109/TVCG.2008.142,1,0,0,0,0,0,1,0,0,0,1,1,1
Vis,2008,7,Interactive Comparison of Scalar fields Based on Largest Contours with Applications to Flow Visualization,10.1109/TVCG.2008.143,Dominic Schneider;Alexander Wiebel;Hamish Carr;Mario Hlawitschka;Gerik Scheuermann,http://dx.doi.org/10.1109/TVCG.2008.143,J,"Scalar topology, comparative visualization, contour tree, largest contours, flow visualization",p23,8,7,2008 Schneider 10.1109/TVCG.2008.143,0,0,0,0,1,0,0,0,0,0,0,1,1
Vis,2008,13,Interactive Visual Steering - Rapid Visual Prototyping of a Common Rail Injection System,10.1109/TVCG.2008.145,Kresimir Matkovic;Denis Gracanin;Mario Jelovic;Helwig Hauser,http://dx.doi.org/10.1109/TVCG.2008.145,J,"Interactive computational steering, interactive visual analysis, simulation, common rail injection system",p24,8,13,2008 Matkovic 10.1109/TVCG.2008.145,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,6,Interactive Visualization and Analysis of Transitional Flow,10.1109/TVCG.2008.146,Gregory P. Johnson;Victor Calo;Kelly P. Gaither,http://dx.doi.org/10.1109/TVCG.2008.146,J,"Applications of Visualization, Flow Visualization, Transitional Flow, Turbulence",p25,8,6,2008 Johnson 10.1109/TVCG.2008.146,0,0,0,0,1,0,0,0,0,0,0,1,1
Vis,2008,10,Interactive Volume Exploration for Feature Detection and Quantification in Industrial CT Data,10.1109/TVCG.2008.147,Markus Hadwiger;Laura Fritz;Christof Rezk-Salama;Thomas Höllt;Georg Geier;Thomas Pabel,http://dx.doi.org/10.1109/TVCG.2008.147,J,"Non-Destructive Testing, Multi-Dimensional Transfer Functions, Region Growing, Volume Rendering",p26,8,10,2008 Hadwiger 10.1109/TVCG.2008.147,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,6,Invariant Crease Lines for Topological and Structural Analysis of Tensor fields,10.1109/TVCG.2008.148,Xavier Tricoche;Gordon L. Kindlmann;Carl-Fredrik Westin,http://dx.doi.org/10.1109/TVCG.2008.148,J,"Tensor fields, tensor invariants, ridge lines, crease extraction, structural analysis, topology",p27,8,6,2008 Tricoche 10.1109/TVCG.2008.148,0,0,0,0,0,0,1,0,0,0,0,1,1
Vis,2008,20,Novel interaction techniques for neurosurgical planning and stereotactic navigation,10.1109/TVCG.2008.150,Alark Joshi;Dustin Scheinost;Kenneth P. Vives;Dennis D. Spencer;Lawrence H. Staib;Xenophon Papademetris,http://dx.doi.org/10.1109/TVCG.2008.150,J,"User interaction, irregular cropping",p28,8,20,2008 Joshi 10.1109/TVCG.2008.150,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2008,9,Particle-based Sampling and Meshing of Surfaces in Multimaterial Volumes,10.1109/TVCG.2008.154,Miriah D. Meyer;Ross T. Whitaker;Robert Michael Kirby;Christian Ledergerber;Hanspeter Pfister,http://dx.doi.org/10.1109/TVCG.2008.154,J,"Sampling, meshing, visualizations",p29,8,9,2008 Meyer 10.1109/TVCG.2008.154,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2008,9,Query-Driven Visualization of Time-Varying Adaptive Mesh Refinement Data,10.1109/TVCG.2008.157,Luke J. Gosink;John C. Anderson;E. Wes Bethel;Kenneth I. Joy,http://dx.doi.org/10.1109/TVCG.2008.157,J,"AMR, Query-Driven Visualization, Multitemporal Visualization",p30,8,9,2008 Gosink 10.1109/TVCG.2008.157,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,7,Relation-Aware Volume Exploration Pipeline,10.1109/TVCG.2008.159,Ming-Yuen Chan;Huamin Qu;Ka-Kei Chung;Wai-Ho Mak;Yingcai Wu,http://dx.doi.org/10.1109/TVCG.2008.159,J,"Exploratory Visualization, Relation-Based Visualization, Visualization Pipeline",p31,8,7,2008 Chan 10.1109/TVCG.2008.159,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,10,Revisiting Histograms and Isosurface Statistics,10.1109/TVCG.2008.160,Carlos Eduardo Scheidegger;John M. Schreiner;Brian Duffy;Hamish Carr;Cláudio T. Silva,http://dx.doi.org/10.1109/TVCG.2008.160,J,"Isosurfaces, Histograms, Coarea Formula",p32,8,10,2008 Scheidegger 10.1109/TVCG.2008.160,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,15,Sinus Endoscopy - Application of Advanced GPU Volume Rendering for Virtual Endoscopy,10.1109/TVCG.2008.161,Arno Krüger;Christoph Kubisch;Gero Strauß;Bernhard Preim,http://dx.doi.org/10.1109/TVCG.2008.161,J,"medical visualization, sinus surgery, operation planning, virtual endoscopy, volume rendering",p33,8,15,2008 Krüger 10.1109/TVCG.2008.161,1,0,0,0,0,0,0,0,0,0,1,0,0
Vis,2008,10,Size-based Transfer Functions: A New Volume Exploration Technique,10.1109/TVCG.2008.162,Carlos D. Correa;Kwan-Liu Ma,http://dx.doi.org/10.1109/TVCG.2008.162,J,"Transfer Functions, Interactive Visualization, Volume Rendering, Scale Space, GPU Techniques",p34,8,10,2008 Correa 10.1109/TVCG.2008.162,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,11,Smoke Surfaces: An Interactive Flow Visualization Technique Inspired by Real-World Flow Experiments,10.1109/TVCG.2008.163,Wolfram von Funck;Tino Weinkauf;Holger Theisel;Hans-Peter Seidel,http://dx.doi.org/10.1109/TVCG.2008.163,J,"Unsteady flow visualization, streak surfaces, smoke visualization",p35,8,11,2008 Funck 10.1109/TVCG.2008.163,0,0,0,0,1,0,0,1,0,0,0,1,1
Vis,2008,7,Smooth Surface Extraction from Unstructured Point-based Volume Data Using PDEs,10.1109/TVCG.2008.164,Paul Rosenthal;Lars Linsen,http://dx.doi.org/10.1109/TVCG.2008.164,J,"PDEs, surface extraction, level sets, point-based visualization",p36,8,7,2008 Rosenthal 10.1109/TVCG.2008.164,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,6,Surface Extraction from Multi-field Particle Volume Data Using Multi-dimensional Cluster Visualization,10.1109/TVCG.2008.167,Lars Linsen;Tran Van Long;Paul Rosenthal;Stephan Rosswog,http://dx.doi.org/10.1109/TVCG.2008.167,J,"Multi-field and multi-variate visualization, isosurfaces and surface extraction, point-based visualization, star coordinates, visualization in astrophysics, particle simulations",p37,8,6,2008 Linsen 10.1109/TVCG.2008.167,0,0,0,0,0,0,0,1,0,0,0,1,1
Vis,2008,11,Text Scaffolds for Effective Surface Labeling,10.1109/TVCG.2008.168,Gregory Cipriano;Michael Gleicher,http://dx.doi.org/10.1109/TVCG.2008.168,J,"surface labeling, computational cartography, text authoring, annotation",p38,8,11,2008 Cipriano 10.1109/TVCG.2008.168,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2008,14,Texture-based Transfer Functions for Direct Volume Rendering,10.1109/TVCG.2008.169,Jesus J. Caban;Penny Rheingans,http://dx.doi.org/10.1109/TVCG.2008.169,J,"visualization, statistical analysis, volume rendering, data variability, medical imaging",p39,8,14,2008 Caban 10.1109/TVCG.2008.169,1,0,0,0,0,0,0,0,0,0,1,0,1
Vis,2008,13,The Seismic Analyzer: Interpreting and Illustrating 2D Seismic Data,10.1109/TVCG.2008.170,Daniel Patel;Christopher Giertsen;John Thurmond;John Gjelberg;Eduard Gröller,http://dx.doi.org/10.1109/TVCG.2008.170,J,"Seismic interpretation, Illustrative rendering, Seismic attributes, Top-down interpretation",p40,8,13,2008 Patel 10.1109/TVCG.2008.170,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,11,Vectorized Radviz and Its Application to Multiple Cluster Datasets,10.1109/TVCG.2008.173,John Sharko;Georges G. Grinstein;Kenneth A. Marx,http://dx.doi.org/10.1109/TVCG.2008.173,J,"Visualization, Radviz, Vectorized Radviz, Clustering, Multiple Clustering, Cluster Ensembles, Flattening Datasets",p41,8,11,2008 Sharko 10.1109/TVCG.2008.173,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,9,VisComplete: Automating Suggestions for Visualization Pipelines,10.1109/TVCG.2008.174,David Koop;Carlos Eduardo Scheidegger;Steven P. Callahan;Juliana Freire;Cláudio T. Silva,http://dx.doi.org/10.1109/TVCG.2008.174,J,"Scientific Workflows, Scientific Visualization, Auto Completion",p42,8,9,2008 Koop 10.1109/TVCG.2008.174,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,16,Visibility-driven Mesh Analysis and Visualization through Graph Cuts,10.1109/TVCG.2008.176,Kaichi Zhou;Eugene Zhang;Jirí Bittner;Peter Wonka,http://dx.doi.org/10.1109/TVCG.2008.176,J,"Interior/Exterior Classification, Normal Orientation, Layer Classification, Inside Removal, Graph Cut",p43,8,16,2008 Zhou 10.1109/TVCG.2008.176,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2008,8,Visiting the Gödel Universe,10.1109/TVCG.2008.177,Frank Grave;Michael Buser,http://dx.doi.org/10.1109/TVCG.2008.177,J,"General relativity, Godel universe, nonlinear ray tracing, time travel",p44,8,8,2008 Grave 10.1109/TVCG.2008.177,0,0,0,0,0,0,0,0,1,0,0,1,0
Vis,2008,13,Visualization of Cellular and Microvascular Relationships,10.1109/TVCG.2008.179,David Mayerich;Louise C. Abbott;John Keyser,http://dx.doi.org/10.1109/TVCG.2008.179,J,"microscopy, biomedical, medical, blood vessels, cells",p45,8,13,2008 Mayerich 10.1109/TVCG.2008.179,1,1,0,0,0,0,0,0,0,0,1,0,1
Vis,2008,11,Visualization of Myocardial Perfusion Derived from Coronary Anatomy,10.1109/TVCG.2008.180,Maurice Termeer;Javier Oliván Bescós;Marcel Breeuwer;Anna Vilanova;Frans A. Gerritsen;Eduard Gröller;Eike Nagel,http://dx.doi.org/10.1109/TVCG.2008.180,J,"Cardiac visualization, coronary artery territories, myocardial perfusion",p46,8,11,2008 Termeer 10.1109/TVCG.2008.180,1,0,0,0,0,0,0,0,0,0,1,0,1
Vis,2008,10,Visualizing Multiwavelength Astrophysical Data,10.1109/TVCG.2008.182,Hongwei Li;Chi-Wing Fu;Andrew J. Hanson,http://dx.doi.org/10.1109/TVCG.2008.182,J,"Astrophysical visualization, multiwavelength data, astronomy",p47,8,10,2008 Li 10.1109/TVCG.2008.182,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,11,Visualizing Particle/Flow Structure Interactions in the Small Bronchial Tubes,10.1109/TVCG.2008.183,Bela Soni;David S. Thompson;Raghu Machiraju,http://dx.doi.org/10.1109/TVCG.2008.183,J,"FTLE, particle trajectory, visualization, bronchial tube",p48,8,11,2008 Soni 10.1109/TVCG.2008.183,1,0,0,0,0,0,0,1,0,0,1,1,1
Vis,2008,11,Visualizing Temporal Patterns in Large Multivariate Data using Textual Pattern Matching,10.1109/TVCG.2008.184,Markus Glatter;Jian Huang;Sean Ahern;Jamison Daniel;Aidong Lu,http://dx.doi.org/10.1109/TVCG.2008.184,J,"Multivariate visualization, Time-varying, Uncertainty",p49,8,11,2008 Glatter 10.1109/TVCG.2008.184,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,7,Volume MLS Ray Casting,10.1109/TVCG.2008.186,Christian Ledergerber;Gaël Guennebaud;Miriah D. Meyer;Moritz Bächer;Hanspeter Pfister,http://dx.doi.org/10.1109/TVCG.2008.186,J,"Volume Visualization, Unstructured Grids, Moving Least Squares Reconstruction, Adaptive Integration",p50,8,7,2008 Ledergerber 10.1109/TVCG.2008.186,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,10,A Novel Interface for Interactive Exploration of DTI fibers,10.1109/TVCG.2009.112,Wei Chen;Zi'ang Ding;Song Zhang;Anna MacKay-Brandt;Stephen Correia;Huamin Qu;John Allen Crow;David F. Tate;Zhicheng Yan;Qunsheng Peng,http://dx.doi.org/10.1109/TVCG.2009.112,J,"Diffusion Tensor Imaging, fibers, fiber Clustering, Visualization Interface",p51,8,10,2009 Chen 10.1109/TVCG.2009.112,0,0,0,1,0,0,1,0,0,0,1,1,1
Vis,2009,13,A Physiologically-based Model for Simulation of Color Vision Deficiency,10.1109/TVCG.2009.113,Gustavo M. Machado;Manuel Menezes de Oliveira Neto;Leandro A. F. Fernandes,http://dx.doi.org/10.1109/TVCG.2009.113,J,"Models of Color Vision, Color Perception, Simulation of Color Vision Deficiency, Anomalous Trichromacy, Dichromacy",p52,8,13,2009 Machado 10.1109/TVCG.2009.113,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,11,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,10.1109/TVCG.2009.114,Jibonananda Sanyal;Song Zhang;Gargi Bhattacharya;Philip Amburn;Robert J. Moorhead II,http://dx.doi.org/10.1109/TVCG.2009.114,J,"User study, uncertainty visualization",p53,10,11,2009 Sanyal 10.1109/TVCG.2009.114,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,9,A Visual Approach to Efficient Analysis and Quantification of Ductile Iron and Reinforced Sprayed Concrete,10.1109/TVCG.2009.115,Laura Fritz;Markus Hadwiger;Georg Geier;Gerhard Pittino;Eduard Gröller,http://dx.doi.org/10.1109/TVCG.2009.115,J,"Non-Destructive Testing, Multi-Dimensional Transfer Functions, Direction Visualization, Volume Rendering",p54,8,9,2009 Fritz 10.1109/TVCG.2009.115,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,11,An interactive visualization tool for multi-channel confocal microscopy data in neurobiology research,10.1109/TVCG.2009.118,Yong Wan;Hideo Otsuna;Chi-Bin Chien;Charles D. Hansen,http://dx.doi.org/10.1109/TVCG.2009.118,J,"Visualization, neurobiology, confocal microscopy, qualitative analysis, volume rendering",p55,8,11,2009 Wan 10.1109/TVCG.2009.118,0,0,1,0,0,0,0,0,0,0,1,0,1
Vis,2009,10,Applying Manifold Learning to Plotting Approximate Contour Trees,10.1109/TVCG.2009.119,Shigeo Takahashi;Issei Fujishiro;Masato Okada,http://dx.doi.org/10.1109/TVCG.2009.119,J,"Contour trees, manifold learning, time-varying volumes, high-dimensional data analysis",p56,8,10,2009 Takahashi 10.1109/TVCG.2009.119 ,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,9,Automatic Transfer Function Generation Using Contour Tree Controlled Residue Flow Model and Color Harmonics,10.1109/TVCG.2009.120,Jianlong Zhou;Masahiro Takatsuka,http://dx.doi.org/10.1109/TVCG.2009.120,J,"Volume Rendering, Transfer Function, Contour Tree, Residue Flow, Harmonic Color",p57,8,9,2009 Zhou 10.1109/TVCG.2009.120,0,0,0,0,1,0,0,0,0,0,0,1,1
Vis,2009,6,BrainGazer - Visual Queries for Neurobiology Research,10.1109/TVCG.2009.121,Stefan Bruckner;Veronika Soltészová;Eduard Gröller;Jirí Hladuvka;Katja Bühler;Jai Y. Yu;Barry J. Dickson,http://dx.doi.org/10.1109/TVCG.2009.121,J,"Biomedical visualization, neurobiology, visual queries, volume visualization",p58,8,6,2009 Bruckner 10.1109/TVCG.2009.121,1,0,1,0,0,0,0,0,0,0,1,0,1
Vis,2009,11,Color Seamlessness in Multi-Projector Displays Using Constrained Gamut Morphing,10.1109/TVCG.2009.124,Behzad Sajadi;Maxim Lazarov;Meenakshisundaram Gopi;Aditi Majumder,http://dx.doi.org/10.1109/TVCG.2009.124,J,"Color Calibration, Multi-Projector Displays, Tiled Displays",p59,10,11,2009 Sajadi 10.1109/TVCG.2009.124,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,5,Coloring 3D Line fields Using Boy's Real Projective Plane Immersion,10.1109/TVCG.2009.125,Çagatay Demiralp;John F. Hughes;David H. Laidlaw,http://dx.doi.org/10.1109/TVCG.2009.125,J,"Line field, colormapping, orientation, real projective plane, tensor field, DTI",p60,8,5,2009 Demiralp 10.1109/TVCG.2009.125,0,0,0,0,0,0,1,0,0,0,0,1,1
Vis,2009,9,Comparing 3D Vector field Visualization Methods: A User Study,10.1109/TVCG.2009.126,Andrew S. Forsberg;Jian Chen;David H. Laidlaw,http://dx.doi.org/10.1109/TVCG.2009.126,J,"3D vector fields, visualization, user study, tubes, lines, stereoscopic and monoscopic viewing",p61,8,9,2009 Forsberg 10.1109/TVCG.2009.126,0,0,0,0,0,1,0,0,0,0,0,1,1
Vis,2009,6,Continuous Parallel Coordinates,10.1109/TVCG.2009.131,Julian Heinrich;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2009.131,J,"Parallel coordinates, integrating spatial and non-spatial data visualization, multi-variate visualization, interpolation",p62,8,6,2009 Heinrich 10.1109/TVCG.2009.131,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,12,Curve-Centric Volume Reformation for Comparative Visualization,10.1109/TVCG.2009.136,Ove Daae Lampe;Carlos D. Correa;Kwan-Liu Ma;Helwig Hauser,http://dx.doi.org/10.1109/TVCG.2009.136,J,"Volume Deformation, Curve-Centric-Reformation, Comparative Visualization, Radial Ray-Casting",p63,8,12,2009 Lampe 10.1109/TVCG.2009.136,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,8,Decoupling Illumination from Isosurface Generation Using 4D Light Transport,10.1109/TVCG.2009.137,David C. Banks;Kevin Beason,http://dx.doi.org/10.1109/TVCG.2009.137,J,"physically-based illumination, isosurface, level set, light transport",p64,8,8,2009 Banks 10.1109/TVCG.2009.137,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2009,17,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,10.1109/TVCG.2009.138,Maarten H. Everts;Henk Bekker;Jos B. T. M. Roerdink;Tobias Isenberg,http://dx.doi.org/10.1109/TVCG.2009.138,J,"Illustrative rendering and visualization, NPR, dense line data, DTI, black-and-white rendering, GPU technique",p65,8,17,2009 Everts 10.1109/TVCG.2009.138,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2009,9,Exploring 3D DTI fiber Tracts with Linked 2D Representations,10.1109/TVCG.2009.141,Radu Jianu;Çagatay Demiralp;David H. Laidlaw,http://dx.doi.org/10.1109/TVCG.2009.141,J,"DTI fiber tracts, embedding, coloring, interaction",p66,8,9,2009 Jianu 10.1109/TVCG.2009.141,0,0,0,0,0,0,1,0,0,0,0,1,1
